RowKey,CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
1_IPC_406,1,IPC,406,1,1
2_IPC_420,2,IPC,420,1,1
3_IPC_354,3,IPC,354,1,1
3_IPC_498A,3,IPC,498A,2,2
4_IPC_354,4,IPC,354,1,1
4_IPC_302,4,IPC,302,2,2
5_IPC_406,5,IPC,406,1,1
5_IPC_420,5,IPC,420,2,2
6_NDPS_22,6,NDPS,22,1,1
7_ITACT_66D,7,ITACT,66D,1,1
7_IPC_420,7,IPC,420,2,2
8_IPC_302,8,IPC,302,1,1
9_NDPS_22,9,NDPS,22,1,1
10_IPC_307,10,IPC,307,1,1
11_ITACT_66,11,ITACT,66,1,1
11_ITACT_66C,11,ITACT,66C,2,2
12_NDPS_22,12,NDPS,22,1,1
13_IPC_506,13,IPC,506,1,1
13_IPC_354,13,IPC,354,2,2
14_NDPS_22,14,NDPS,22,1,1
15_IPC_420,15,IPC,420,1,1
16_POCSO_8,16,POCSO,8,1,1
16_IPC_420,16,IPC,420,2,2
17_POCSO_8,17,POCSO,8,1,1
18_IPC_420,18,IPC,420,1,1
18_POCSO_4,18,POCSO,4,2,2
19_NDPS_20,19,NDPS,20,1,1
19_NDPS_22,19,NDPS,22,2,2
20_IPC_406,20,IPC,406,1,1
21_IPC_420,21,IPC,420,1,1
22_IPC_506,22,IPC,506,1,1
23_IPC_420,23,IPC,420,1,1
24_NDPS_22,24,NDPS,22,1,1
25_IPC_506,25,IPC,506,1,1
25_IPC_354,25,IPC,354,2,2
26_POCSO_4,26,POCSO,4,1,1
27_IPC_506,27,IPC,506,1,1
28_IPC_506,28,IPC,506,1,1
29_IPC_379,29,IPC,379,1,1
29_IPC_392,29,IPC,392,2,2
30_IPC_498A,30,IPC,498A,1,1
31_IPC_379,31,IPC,379,1,1
31_IPC_392,31,IPC,392,2,2
32_ITACT_66C,32,ITACT,66C,1,1
32_IPC_506,32,IPC,506,2,2
33_ITACT_66C,33,ITACT,66C,1,1
34_IPC_420,34,IPC,420,1,1
34_POCSO_4,34,POCSO,4,2,2
35_IPC_420,35,IPC,420,1,1
35_IPC_406,35,IPC,406,2,2
36_POCSO_8,36,POCSO,8,1,1
36_IPC_420,36,IPC,420,2,2
37_NDPS_20,37,NDPS,20,1,1
38_IPC_406,38,IPC,406,1,1
38_IPC_420,38,IPC,420,2,2
39_IPC_307,39,IPC,307,1,1
40_IPC_506,40,IPC,506,1,1
41_IPC_354,41,IPC,354,1,1
41_IPC_307,41,IPC,307,2,2
42_NDPS_20,42,NDPS,20,1,1
42_NDPS_22,42,NDPS,22,2,2
43_IPC_420,43,IPC,420,1,1
43_POCSO_4,43,POCSO,4,2,2
44_NDPS_22,44,NDPS,22,1,1
45_IPC_498A,45,IPC,498A,1,1
45_IPC_506,45,IPC,506,2,2
46_NDPS_20,46,NDPS,20,1,1
47_IPC_506,47,IPC,506,1,1
48_ITACT_66C,48,ITACT,66C,1,1
49_IPC_406,49,IPC,406,1,1
49_IPC_420,49,IPC,420,2,2
50_IPC_506,50,IPC,506,1,1
51_NDPS_20,51,NDPS,20,1,1
52_IPC_420,52,IPC,420,1,1
53_IPC_420,53,IPC,420,1,1
53_IPC_406,53,IPC,406,2,2
54_IPC_506,54,IPC,506,1,1
54_IPC_498A,54,IPC,498A,2,2
55_IPC_354,55,IPC,354,1,1
56_POCSO_4,56,POCSO,4,1,1
57_IPC_392,57,IPC,392,1,1
57_IPC_379,57,IPC,379,2,2
58_ITACT_66,58,ITACT,66,1,1
59_ITACT_66D,59,ITACT,66D,1,1
59_ITACT_66C,59,ITACT,66C,2,2
60_POCSO_8,60,POCSO,8,1,1
60_IPC_420,60,IPC,420,2,2
61_NDPS_20,61,NDPS,20,1,1
61_NDPS_22,61,NDPS,22,2,2
62_IPC_354,62,IPC,354,1,1
63_NDPS_20,63,NDPS,20,1,1
63_NDPS_22,63,NDPS,22,2,2
64_NDPS_20,64,NDPS,20,1,1
65_IPC_506,65,IPC,506,1,1
66_IPC_406,66,IPC,406,1,1
67_IPC_379,67,IPC,379,1,1
67_IPC_392,67,IPC,392,2,2
68_IPC_302,68,IPC,302,1,1
68_IPC_354,68,IPC,354,2,2
69_IPC_406,69,IPC,406,1,1
69_IPC_420,69,IPC,420,2,2
70_ITACT_66C,70,ITACT,66C,1,1
