CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
1,100060022202500001,202500001,2025-08-24,110,22,1,2,7,24,7,7,2025-08-23T21:48:22.694407,2025-08-24T22:48:22.694407,2025-08-24T20:48:22.694407,13.845481,78.182897,"On 23-Aug-2025, a case of criminal breach of trust was reported near Dakshina East PS. Investigation initiated under 100060022202500001."
2,100060022202500001,202500001,2025-02-01,81,22,3,2,7,24,3,5,2025-01-30T08:47:21.588576,2025-02-01T23:47:21.588576,2025-01-31T02:47:21.588576,13.82519,78.151442,"On 30-Jan-2025, a case of criminal breach of trust was reported near Dakshina East PS. Investigation initiated under 100060022202500001."
3,100070030202400001,202400001,2024-03-04,89,30,3,2,3,10,2,5,2024-03-02T22:35:12.400558,2024-03-04T19:35:12.400558,2024-03-03T17:35:12.400558,14.001515,78.340803,"On 02-Mar-2024, a case of dowry harassment was reported near Kalaburagi Rural PS. Investigation initiated under 100070030202400001."
4,100030009202500001,202500001,2025-02-06,117,9,1,2,1,3,4,5,2025-02-06T16:48:44.411577,2025-02-06T21:48:44.411577,2025-02-07T11:48:44.411577,13.408086,77.857741,"On 06-Feb-2025, a case of grievous hurt was reported near Mysuru North PS. Investigation initiated under 100030009202500001."
5,100060024202400001,202400001,2024-08-11,34,24,1,2,7,23,1,10,2024-08-10T15:06:48.977233,2024-08-11T07:06:48.977233,2024-08-11T06:06:48.977233,13.858459,78.219501,"On 10-Aug-2024, a case of cheating was reported near Dakshina Traffic PS. Investigation initiated under 100060024202400001."
6,100050018202500001,202500001,2025-12-10,70,18,1,2,6,21,2,6,2025-12-09T15:03:57.107964,2025-12-10T22:03:57.107964,2025-12-10T03:03:57.107964,13.681535,78.113168,"On 09-Dec-2025, a case of ndps - possession was reported near Ballari CEN Crime PS. Investigation initiated under 100050018202500001."
7,100030010202500001,202500001,2025-11-16,31,10,4,2,5,18,1,10,2025-11-16T10:53:25.090523,2025-11-16T14:53:25.090523,2025-11-16T15:53:25.090523,13.373086,77.923598,"On 16-Nov-2025, a case of hacking was reported near Mysuru Town PS. Investigation initiated under 100030010202500001."
8,100090034202400001,202400001,2024-07-29,117,34,1,1,1,1,7,8,2024-07-27T17:51:04.565846,2024-07-29T21:51:04.565846,2024-07-28T07:51:04.565846,14.34021,78.493627,"On 27-Jul-2024, a case of murder was reported near Shivamogga Cyber Crime PS. Investigation initiated under 100090034202400001."
9,100020006202400001,202400001,2024-09-05,46,6,1,2,6,21,2,7,2024-09-02T22:00:29.173947,2024-09-05T22:00:29.173947,2024-09-03T16:00:29.173947,13.254565,77.756823,"On 02-Sep-2024, a case of ndps - possession was reported near Bengaluru Rural PS. Investigation initiated under 100020006202400001."
10,100100040202400001,202400001,2024-01-25,45,40,1,2,1,3,1,1,2024-01-24T03:14:30.117479,2024-01-25T14:14:30.117479,2024-01-25T02:14:30.117479,14.497841,78.636754,"On 24-Jan-2024, a case of grievous hurt was reported near Hubballi-Dharwad Rural PS. Investigation initiated under 100100040202400001."
11,100100038202400001,202400001,2024-08-18,99,38,1,2,5,17,1,3,2024-08-17T17:43:09.435550,2024-08-18T01:43:09.435550,2024-08-17T18:43:09.435550,14.442042,78.639132,"On 17-Aug-2024, a case of online financial fraud was reported near Hubballi-Dharwad Rural PS. Investigation initiated under 100100038202400001."
12,100020008202500001,202500001,2025-07-20,109,8,1,2,6,21,5,2,2025-07-18T04:47:41.464888,2025-07-20T15:47:41.464888,2025-07-19T03:47:41.464888,13.313577,77.753413,"On 18-Jul-2025, a case of ndps - possession was reported near Bengaluru Rural PS. Investigation initiated under 100020008202500001."
13,100030013202500001,202500001,2025-07-06,58,13,1,2,3,10,1,10,2025-07-03T21:46:45.317136,2025-07-06T13:46:45.317136,2025-07-04T12:46:45.317136,13.447045,77.920588,"On 03-Jul-2025, a case of dowry harassment was reported near Mysuru Central PS. Investigation initiated under 100030013202500001."
14,100070029202500001,202500001,2025-09-27,57,29,1,2,6,21,2,9,2025-09-26T21:09:37.579059,2025-09-27T20:09:37.579059,2025-09-26T23:09:37.579059,13.996374,78.288376,"On 26-Sep-2025, a case of ndps - possession was reported near Kalaburagi West PS. Investigation initiated under 100070029202500001."
15,100090034202600001,202600001,2026-01-23,99,34,1,2,7,25,2,8,2026-01-21T02:40:44.004841,2026-01-23T01:40:44.004841,2026-01-21T12:40:44.004841,14.289626,78.466019,"On 21-Jan-2026, a case of forgery was reported near Shivamogga Cyber Crime PS. Investigation initiated under 100090034202600001."
16,100070029202400001,202400001,2024-11-06,57,29,1,2,4,15,7,8,2024-11-03T20:20:11.757047,2024-11-06T09:20:11.757047,2024-11-04T03:20:11.757047,14.008384,78.339313,"On 03-Nov-2024, a case of child trafficking was reported near Kalaburagi West PS. Investigation initiated under 100070029202400001."
17,100070028202500001,202500001,2025-09-21,31,28,1,2,4,15,6,7,2025-09-21T16:03:25.998500,2025-09-21T20:03:25.998500,2025-09-22T06:03:25.998500,13.976926,78.294801,"On 21-Sep-2025, a case of child trafficking was reported near Kalaburagi Central PS. Investigation initiated under 100070028202500001."
18,100020008202400001,202400001,2024-11-16,9,8,2,2,4,15,1,2,2024-11-15T13:25:43.782308,2024-11-16T20:25:43.782308,2024-11-16T03:25:43.782308,13.285495,77.806881,"On 15-Nov-2024, a case of child trafficking was reported near Bengaluru Rural PS. Investigation initiated under 100020008202400001."
