CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
1,100060022202500001,202500001,2025-08-24,110,22,1,2,7,24,7,7,2025-08-23 21:48:22,2025-08-24 22:48:22,2025-08-24 20:48:22,13.845481,78.182897,"On 23-Aug-2025, a case of criminal breach of trust was reported near Dakshina East PS. Investigation initiated under 100060022202500001."
2,100060022202500001,202500001,2025-02-01,81,22,3,2,7,24,3,5,2025-01-30 08:47:21,2025-02-01 23:47:21,2025-01-31 02:47:21,13.82519,78.151442,"On 30-Jan-2025, a case of criminal breach of trust was reported near Dakshina East PS. Investigation initiated under 100060022202500001."
3,100070030202400001,202400001,2024-03-04,89,30,3,2,3,10,2,5,2024-03-02 22:35:12,2024-03-04 19:35:12,2024-03-03 17:35:12,14.001515,78.340803,"On 02-Mar-2024, a case of dowry harassment was reported near Kalaburagi Rural PS. Investigation initiated under 100070030202400001."
4,100030009202500001,202500001,2025-02-06,117,9,1,2,1,3,4,5,2025-02-06 16:48:44,2025-02-06 21:48:44,2025-02-07 11:48:44,13.408086,77.857741,"On 06-Feb-2025, a case of grievous hurt was reported near Mysuru North PS. Investigation initiated under 100030009202500001."
5,100060024202400001,202400001,2024-08-11,34,24,1,2,7,23,1,10,2024-08-10 15:06:48,2024-08-11 07:06:48,2024-08-11 06:06:48,13.858459,78.219501,"On 10-Aug-2024, a case of cheating was reported near Dakshina Traffic PS. Investigation initiated under 100060024202400001."
6,100050018202500001,202500001,2025-12-10,70,18,1,2,6,21,2,6,2025-12-09 15:03:57,2025-12-10 22:03:57,2025-12-10 03:03:57,13.681535,78.113168,"On 09-Dec-2025, a case of ndps - possession was reported near Ballari CEN Crime PS. Investigation initiated under 100050018202500001."
7,100030010202500001,202500001,2025-11-16,31,10,4,2,5,18,1,10,2025-11-16 10:53:25,2025-11-16 14:53:25,2025-11-16 15:53:25,13.373086,77.923598,"On 16-Nov-2025, a case of hacking was reported near Mysuru Town PS. Investigation initiated under 100030010202500001."
8,100090034202400001,202400001,2024-07-29,117,34,1,1,1,1,7,8,2024-07-27 17:51:04,2024-07-29 21:51:04,2024-07-28 07:51:04,14.34021,78.493627,"On 27-Jul-2024, a case of murder was reported near Shivamogga Cyber Crime PS. Investigation initiated under 100090034202400001."
9,100020006202400001,202400001,2024-09-05,46,6,1,2,6,21,2,7,2024-09-02 22:00:29,2024-09-05 22:00:29,2024-09-03 16:00:29,13.254565,77.756823,"On 02-Sep-2024, a case of ndps - possession was reported near Bengaluru Rural PS. Investigation initiated under 100020006202400001."
10,100100040202400001,202400001,2024-01-25,45,40,1,2,1,3,1,1,2024-01-24 03:14:30,2024-01-25 14:14:30,2024-01-25 02:14:30,14.497841,78.636754,"On 24-Jan-2024, a case of grievous hurt was reported near Hubballi-Dharwad Rural PS. Investigation initiated under 100100040202400001."
11,100100038202400001,202400001,2024-08-18,99,38,1,2,5,17,1,3,2024-08-17 17:43:09,2024-08-18 01:43:09,2024-08-17 18:43:09,14.442042,78.639132,"On 17-Aug-2024, a case of online financial fraud was reported near Hubballi-Dharwad Rural PS. Investigation initiated under 100100038202400001."
12,100020008202500001,202500001,2025-07-20,109,8,1,2,6,21,5,2,2025-07-18 04:47:41,2025-07-20 15:47:41,2025-07-19 03:47:41,13.313577,77.753413,"On 18-Jul-2025, a case of ndps - possession was reported near Bengaluru Rural PS. Investigation initiated under 100020008202500001."
13,100030013202500001,202500001,2025-07-06,58,13,1,2,3,10,1,10,2025-07-03 21:46:45,2025-07-06 13:46:45,2025-07-04 12:46:45,13.447045,77.920588,"On 03-Jul-2025, a case of dowry harassment was reported near Mysuru Central PS. Investigation initiated under 100030013202500001."
14,100070029202500001,202500001,2025-09-27,57,29,1,2,6,21,2,9,2025-09-26 21:09:37,2025-09-27 20:09:37,2025-09-26 23:09:37,13.996374,78.288376,"On 26-Sep-2025, a case of ndps - possession was reported near Kalaburagi West PS. Investigation initiated under 100070029202500001."
15,100090034202600001,202600001,2026-01-23,99,34,1,2,7,25,2,8,2026-01-21 02:40:44,2026-01-23 01:40:44,2026-01-21 12:40:44,14.289626,78.466019,"On 21-Jan-2026, a case of forgery was reported near Shivamogga Cyber Crime PS. Investigation initiated under 100090034202600001."
16,100070029202400001,202400001,2024-11-06,57,29,1,2,4,15,7,8,2024-11-03 20:20:11,2024-11-06 09:20:11,2024-11-04 03:20:11,14.008384,78.339313,"On 03-Nov-2024, a case of child trafficking was reported near Kalaburagi West PS. Investigation initiated under 100070029202400001."
17,100070028202500001,202500001,2025-09-21,31,28,1,2,4,15,6,7,2025-09-21 16:03:25,2025-09-21 20:03:25,2025-09-22 06:03:25,13.976926,78.294801,"On 21-Sep-2025, a case of child trafficking was reported near Kalaburagi Central PS. Investigation initiated under 100070028202500001."
18,100020008202400001,202400001,2024-11-16,9,8,2,2,4,15,1,2,2024-11-15 13:25:43,2024-11-16 20:25:43,2024-11-16 03:25:43,13.285495,77.806881,"On 15-Nov-2024, a case of child trafficking was reported near Bengaluru Rural PS. Investigation initiated under 100020008202400001."
19,100100041202500001,202500001,2025-10-19,100,41,1,2,6,21,1,8,2025-10-16 21:28:17,2025-10-19 19:28:17,2025-10-17 08:28:17,14.502951,78.562109,"On 16-Oct-2025, a case of ndps - possession was reported near Hubballi-Dharwad CEN Crime PS. Investigation initiated under 100100041202500001."
20,100070029202400001,202400001,2024-06-12,67,29,3,2,7,24,7,5,2024-06-09 23:36:59,2024-06-12 15:36:59,2024-06-10 22:36:59,14.021352,78.337031,"On 09-Jun-2024, a case of criminal breach of trust was reported near Kalaburagi West PS. Investigation initiated under 100070029202400001."
21,100010004202600001,202600001,2026-05-08,101,4,1,2,7,24,2,8,2026-05-07 09:00:00,2026-05-08 06:00:00,2026-05-07 10:00:00,13.085878,77.705357,"On 07-May-2026, a case of criminal breach of trust was reported near Bengaluru Central PS. Investigation initiated under 100010004202600001."
22,100100040202400002,202400002,2024-04-18,12,40,1,2,8,26,1,6,2024-04-17 14:40:04,2024-04-18 00:40:04,2024-04-18 05:40:04,14.438866,78.615937,"On 17-Apr-2024, a case of rioting was reported near Hubballi-Dharwad Rural PS. Investigation initiated under 100100040202400002."
23,100080031202400001,202400001,2024-05-23,67,31,1,2,7,25,1,6,2024-05-21 12:39:56,2024-05-23 05:39:56,2024-05-22 09:39:56,14.129017,78.391183,"On 21-May-2024, a case of forgery was reported near Tumakuru North PS. Investigation initiated under 100080031202400001."
24,100100038202500001,202500001,2025-09-20,74,38,1,2,6,21,5,5,2025-09-20 12:57:19,2025-09-20 16:57:19,2025-09-20 15:57:19,14.426146,78.608745,"On 20-Sep-2025, a case of ndps - possession was reported near Hubballi-Dharwad Rural PS. Investigation initiated under 100100038202500001."
25,100050018202400001,202400001,2024-02-24,116,18,1,2,3,10,1,3,2024-02-22 07:21:26,2024-02-24 09:21:26,2024-02-23 03:21:26,13.713413,78.140869,"On 22-Feb-2024, a case of dowry harassment was reported near Ballari CEN Crime PS. Investigation initiated under 100050018202400001."
26,100060026202500001,202500001,2025-06-09,36,26,1,2,4,15,2,10,2025-06-09 02:53:38,2025-06-09 12:53:38,2025-06-09 15:53:38,13.872026,78.22104,"On 09-Jun-2025, a case of child trafficking was reported near Dakshina West PS. Investigation initiated under 100060026202500001."
27,100100041202600001,202600001,2026-06-28,68,41,1,2,8,27,7,10,2026-06-26 23:08:33,2026-06-28 05:08:33,2026-06-27 23:08:33,14.426736,78.592645,"On 26-Jun-2026, a case of unlawful assembly was reported near Hubballi-Dharwad CEN Crime PS. Investigation initiated under 100100041202600001."
28,100050021202600001,202600001,2026-01-11,36,21,4,2,8,27,2,9,2026-01-10 13:20:00,2026-01-11 23:20:00,2026-01-11 09:20:00,13.720018,78.140334,"On 10-Jan-2026, a case of unlawful assembly was reported near Ballari South PS. Investigation initiated under 100050021202600001."
29,100050019202400001,202400001,2024-02-19,69,19,4,2,2,7,7,5,2024-02-18 01:25:08,2024-02-19 10:25:08,2024-02-19 01:25:08,13.719508,78.064807,"On 18-Feb-2024, a case of burglary was reported near Ballari North PS. Investigation initiated under 100050019202400001."
30,100030012202500001,202500001,2025-05-17,112,12,1,2,3,10,7,5,2025-05-15 05:45:51,2025-05-17 08:45:51,2025-05-15 21:45:51,13.390231,77.9195,"On 15-May-2025, a case of dowry harassment was reported near Mysuru Rural PS. Investigation initiated under 100030012202500001."
31,100070028202600001,202600001,2026-06-12,1,28,1,1,2,8,3,5,2026-06-11 23:35:40,2026-06-12 23:35:40,2026-06-12 04:35:40,14.019345,78.338183,"On 11-Jun-2026, a case of dacoity was reported near Kalaburagi Central PS. Investigation initiated under 100070028202600001."
32,100020008202400001,202400001,2024-08-31,78,8,1,2,5,19,3,6,2024-08-30 10:52:30,2024-08-31 15:52:30,2024-08-30 15:52:30,13.269418,77.790098,"On 30-Aug-2024, a case of cyberstalking was reported near Bengaluru Rural PS. Investigation initiated under 100020008202400001."
33,100090036202600001,202600001,2026-03-04,55,36,1,2,5,17,2,6,2026-03-04 00:50:29,2026-03-04 01:50:29,2026-03-05 00:50:29,14.29339,78.451903,"On 04-Mar-2026, a case of online financial fraud was reported near Shivamogga Town PS. Investigation initiated under 100090036202600001."
34,100060025202500001,202500001,2025-01-08,15,25,2,2,4,15,1,1,2025-01-07 09:36:43,2025-01-08 21:36:43,2025-01-07 16:36:43,13.915341,78.217102,"On 07-Jan-2025, a case of child trafficking was reported near Dakshina North PS. Investigation initiated under 100060025202500001."
35,100010004202500001,202500001,2025-02-08,97,4,4,2,7,25,1,9,2025-02-06 09:14:10,2025-02-08 15:14:10,2025-02-06 23:14:10,13.086522,77.682246,"On 06-Feb-2025, a case of forgery was reported near Bengaluru Central PS. Investigation initiated under 100010004202500001."
36,100010001202500001,202500001,2025-07-19,51,1,1,2,4,16,1,4,2025-07-16 14:13:13,2025-07-19 04:13:13,2025-07-16 22:13:13,13.141163,77.714977,"On 16-Jul-2025, a case of child labour was reported near Bengaluru Rural PS. Investigation initiated under 100010001202500001."
37,100040016202500001,202500001,2025-02-20,22,16,1,2,6,22,4,6,2025-02-18 00:13:20,2025-02-20 15:13:20,2025-02-19 00:13:20,13.585769,77.99366,"On 18-Feb-2025, a case of ndps - trafficking was reported near Belagavi Town PS. Investigation initiated under 100040016202500001."
38,100050019202400001,202400001,2024-09-07,68,19,1,2,7,23,1,5,2024-09-06 18:49:35,2024-09-07 07:49:35,2024-09-07 11:49:35,13.68649,78.063793,"On 06-Sep-2024, a case of cheating was reported near Ballari North PS. Investigation initiated under 100050019202400001."
39,100090037202600001,202600001,2026-03-10,119,37,1,1,1,1,3,6,2026-03-08 19:58:10,2026-03-10 07:58:10,2026-03-09 13:58:10,14.327951,78.44789,"On 08-Mar-2026, a case of murder was reported near Shivamogga South PS. Investigation initiated under 100090037202600001."
40,100100041202400001,202400001,2024-08-29,85,41,1,2,8,27,1,7,2024-08-26 05:28:09,2024-08-29 04:28:09,2024-08-26 18:28:09,14.464785,78.612569,"On 26-Aug-2024, a case of unlawful assembly was reported near Hubballi-Dharwad CEN Crime PS. Investigation initiated under 100100041202400001."
41,100080033202500001,202500001,2025-08-13,50,33,1,1,1,1,2,1,2025-08-13 03:48:55,2025-08-13 15:48:55,2025-08-13 23:48:55,14.181404,78.377043,"On 13-Aug-2025, a case of murder was reported near Tumakuru West PS. Investigation initiated under 100080033202500001."
42,100100040202400003,202400003,2024-12-04,26,40,1,2,6,22,1,8,2024-12-03 14:42:00,2024-12-04 08:42:00,2024-12-04 00:42:00,14.453667,78.639328,"On 03-Dec-2024, a case of ndps - trafficking was reported near Hubballi-Dharwad Rural PS. Investigation initiated under 100100040202400003."
43,100070030202600001,202600001,2026-05-16,39,30,3,2,4,15,4,4,2026-05-16 12:45:05,2026-05-16 21:45:05,2026-05-17 02:45:05,14.038898,78.258518,"On 16-May-2026, a case of child trafficking was reported near Kalaburagi Rural PS. Investigation initiated under 100070030202600001."
