CSID,CaseMasterID,csdate,cstype,PolicePersonID
1,1,2025-12-15T22:48:22.694407,A,110
2,3,2024-06-26T19:35:12.400558,A,89
3,5,2024-11-01T07:06:48.977233,C,34
4,6,2026-03-26T22:03:57.107964,A,70
5,8,2024-09-08T21:51:04.565846,B,117
6,9,2024-12-15T22:00:29.173947,C,46
7,10,2024-03-31T14:14:30.117479,A,45
8,11,2024-12-07T01:43:09.435550,A,99
9,12,2025-09-01T15:47:41.464888,A,109
10,13,2025-08-24T13:46:45.317136,C,58
11,14,2025-11-12T20:09:37.579059,A,57
12,15,2026-05-11T01:40:44.004841,A,99
13,16,2025-02-09T09:20:11.757047,A,57
14,17,2026-01-06T20:03:25.998500,A,31
15,18,2025-01-15T20:25:43.782308,B,9
16,20,2024-09-05T15:36:59.429470,A,67
17,21,2026-09-05T06:00:00.021817,A,101
18,22,2024-07-07T00:40:04.057264,C,12
19,23,2024-09-12T05:39:56.375714,A,67
20,24,2025-11-19T16:57:19.512205,A,74
21,25,2024-05-15T09:21:26.671965,A,116
22,26,2025-08-17T12:53:38.396346,B,36
23,27,2026-09-27T05:08:33.199166,A,68
24,28,2026-02-28T23:20:00.126041,A,36
25,29,2024-03-24T10:25:08.474613,C,69
26,30,2025-09-05T08:45:51.066988,C,112
27,33,2026-06-11T01:50:29.913458,A,55
28,37,2025-04-26T15:13:20.163621,A,22
29,41,2025-11-01T15:48:55.106770,A,50
30,44,2026-02-09T05:50:04.177062,C,72
31,45,2024-03-17T13:15:46.232733,A,24
32,46,2024-07-09T15:33:21.696998,A,23
33,47,2025-11-01T17:26:27.225203,A,88
34,48,2025-09-07T09:03:40.733377,A,100
35,49,2025-01-04T00:30:57.330552,A,82
36,50,2024-09-10T00:25:37.122776,A,48
37,52,2025-06-06T22:09:48.227955,A,64
38,53,2025-11-13T10:11:50.804236,A,36
39,54,2024-05-20T10:13:02.334097,A,68
40,55,2025-04-19T19:58:28.223665,A,84
41,56,2025-03-15T08:05:16.158017,A,102
42,57,2026-06-14T04:50:12.295767,A,34
43,58,2024-12-09T10:37:56.795426,C,46
44,59,2025-05-21T15:44:40.834411,A,17
45,60,2025-08-26T18:22:03.706052,A,46
46,64,2025-08-27T16:31:48.367833,A,21
47,65,2025-05-08T16:52:23.838370,A,81
48,67,2025-12-30T23:06:04.253128,A,59
49,68,2024-12-01T00:42:37.730602,A,40
50,69,2024-11-24T17:28:09.410580,A,23
51,70,2026-01-06T07:29:53.688189,A,39
52,71,2024-10-30T07:53:48.891418,A,91
53,72,2024-05-11T17:30:04.319614,A,112
54,74,2024-07-13T23:31:14.775523,A,69
55,75,2024-04-13T07:36:13.862532,C,46
56,76,2026-02-13T22:23:34.507418,A,47
57,78,2024-08-04T18:49:24.986229,A,56
58,79,2024-06-06T16:22:53.100326,B,102
59,81,2026-08-18T02:30:39.234562,A,96
60,83,2025-02-17T06:08:05.769901,A,10
61,84,2026-03-12T17:26:07.461876,C,70
62,85,2024-06-21T07:00:48.424485,B,4
63,86,2025-06-18T10:02:10.264586,B,92
64,88,2025-04-24T17:21:24.060447,A,25
65,89,2024-06-24T23:27:07.720725,B,81
66,90,2025-09-07T11:26:42.944824,A,30
67,91,2026-02-18T15:22:09.722291,A,20
68,92,2025-03-01T14:52:15.179016,A,62
69,94,2024-06-01T03:34:49.534600,A,47
70,95,2024-06-10T07:09:13.431272,A,77
71,96,2025-11-24T10:31:03.201910,B,75
72,97,2026-06-23T14:34:40.701475,C,59
73,99,2024-07-15T02:30:58.703187,A,59
74,100,2024-05-12T15:46:38.548021,A,20
75,104,2024-12-18T05:02:52.192723,A,72
76,105,2025-03-19T01:34:50.734995,A,69
77,106,2024-06-26T03:22:22.970342,A,49
78,107,2024-07-30T00:25:38.122208,A,80
79,109,2025-01-29T01:21:53.553033,A,67
80,110,2025-01-20T06:31:07.444518,A,93
81,111,2025-05-20T04:58:49.408447,A,51
82,114,2025-01-22T20:05:28.966140,A,99
83,115,2026-07-31T10:55:58.632872,C,19
84,117,2024-04-07T06:06:06.907415,A,40
85,119,2025-02-15T21:19:51.307626,A,41
86,120,2026-07-05T23:03:45.097668,A,100
87,121,2025-02-16T12:54:09.826713,A,21
88,125,2024-06-16T14:55:52.357813,A,72
89,126,2026-02-10T11:02:49.975253,B,26
90,128,2025-12-04T04:55:48.398796,A,26
91,130,2024-12-16T10:41:48.191178,A,75
92,132,2024-11-21T23:15:55.625023,A,71
93,133,2026-03-15T03:52:58.066139,A,61
94,137,2025-04-10T19:28:22.303267,A,28
95,138,2024-10-02T15:12:49.385581,A,89
96,139,2026-02-06T20:14:27.281825,A,101
97,143,2025-09-22T21:47:14.132730,C,115
98,144,2025-07-19T09:16:21.334229,B,61
99,146,2026-07-24T11:15:25.758533,A,47
100,148,2025-06-13T17:35:45.043752,A,84
101,149,2025-11-04T22:57:01.989219,C,4
102,150,2026-01-27T09:30:11.038121,A,48
103,152,2025-10-21T07:21:50.498421,B,41
104,153,2026-02-25T14:32:43.183171,A,48
105,155,2025-02-17T23:54:37.746329,C,65
106,156,2025-12-08T11:08:59.359461,A,16
107,157,2025-06-02T16:58:24.871756,A,87
108,158,2025-07-07T19:59:37.596752,A,80
109,159,2024-10-25T00:44:31.723467,A,15
110,161,2024-11-29T22:26:00.039405,A,101
111,162,2026-07-03T08:19:01.891878,B,71
112,164,2025-08-10T19:24:52.084456,A,100
113,165,2024-05-16T08:38:12.603292,B,33
114,166,2024-12-25T04:14:21.610447,C,46
115,167,2024-09-20T02:22:30.144000,C,7
116,168,2024-06-05T18:22:07.883301,C,42
117,170,2025-04-12T18:17:53.498379,B,72
118,171,2025-04-08T08:12:42.358843,A,14
119,172,2024-03-10T18:27:58.458692,A,95
120,173,2024-12-24T01:44:34.797572,A,66
121,175,2025-09-12T17:11:42.250956,A,69
122,176,2025-10-10T23:42:05.847827,A,66
123,177,2024-11-19T19:44:48.634345,A,80
124,178,2025-02-10T06:58:48.032640,A,115
125,180,2026-04-01T20:55:37.649892,A,45
126,182,2025-08-21T20:58:05.485203,A,55
127,183,2025-04-21T23:26:21.107658,A,39
128,185,2024-11-07T05:19:00.918803,A,111
129,186,2025-01-18T13:16:29.863019,A,15
130,187,2025-05-02T02:49:47.266392,C,60
131,188,2025-03-26T20:08:39.769482,C,44
132,189,2024-12-08T21:25:21.220209,A,90
133,190,2026-03-12T16:13:32.497559,C,30
134,191,2024-08-01T09:32:11.048127,A,81
135,192,2026-05-24T22:49:54.334864,A,8
136,198,2024-07-10T17:39:08.778959,A,35
137,200,2024-06-03T16:26:28.786802,A,104
138,201,2025-04-18T03:06:15.815433,A,23
139,202,2026-06-21T05:08:46.015348,B,105
140,203,2026-01-13T09:27:52.170017,A,6
141,204,2026-02-19T02:41:46.694082,A,42
142,205,2024-05-29T09:43:54.374806,A,92
143,208,2025-10-13T01:17:16.913600,A,102
144,209,2025-06-14T22:30:45.414626,A,47
145,210,2024-11-13T08:38:49.515005,A,16
146,212,2025-09-26T23:30:53.430191,A,65
147,213,2024-06-28T19:33:17.330016,C,55
148,214,2026-06-29T09:40:15.994729,C,120
149,215,2025-04-28T12:28:36.397899,A,93
150,216,2024-10-24T16:38:24.301928,A,50
151,217,2026-04-09T05:01:29.779710,A,100
152,220,2026-04-01T23:50:27.950900,A,16
153,222,2024-07-09T00:29:02.268835,A,32
154,223,2025-05-14T13:13:10.537603,A,62
155,225,2026-02-19T15:47:50.825777,A,15
156,227,2024-07-05T11:12:53.465204,B,3
157,228,2025-05-01T01:40:26.929403,A,36
158,230,2026-04-22T18:19:23.513104,A,25
159,232,2025-05-11T10:14:18.700907,A,71
160,233,2025-04-02T20:22:49.145614,A,24
161,234,2024-10-02T13:38:15.617152,A,98
162,235,2026-03-17T11:10:28.086416,C,14
163,237,2024-12-02T07:58:05.624286,A,27
164,238,2024-08-19T03:30:07.450149,A,32
165,239,2025-04-20T23:00:13.658016,A,74
166,240,2026-01-24T13:43:35.356925,A,14
167,241,2026-01-23T11:06:26.661713,C,37
168,242,2025-03-19T22:34:55.165950,C,56
169,243,2025-03-08T05:05:03.694132,A,53
170,244,2024-08-23T10:59:29.155568,A,43
171,245,2024-08-24T03:53:17.090236,B,116
172,246,2025-09-29T03:38:19.873688,A,13
173,248,2026-02-28T18:44:32.979040,B,101
174,249,2026-02-05T01:47:33.532023,C,91
175,251,2024-06-11T11:01:56.942182,C,41
176,253,2024-09-15T14:14:00.758068,A,32
177,254,2024-09-14T22:58:05.269937,A,16
178,255,2026-08-10T18:56:14.927638,A,16
179,257,2025-02-02T01:10:24.589713,A,25
180,260,2025-05-11T02:05:51.222769,A,63
181,261,2025-10-24T01:10:10.880824,C,114
182,262,2025-04-20T01:40:33.626616,A,37
183,263,2026-08-21T04:14:05.898642,A,42
184,264,2024-06-30T00:13:39.644645,A,80
185,266,2025-02-21T20:32:32.536211,A,31
186,267,2025-03-17T12:52:55.247737,B,36
187,268,2026-05-30T13:47:53.745613,A,21
188,270,2025-10-04T03:45:48.504707,A,119
189,271,2025-02-01T18:37:07.830101,B,98
190,273,2026-03-21T06:12:51.050696,B,84
191,275,2025-04-29T06:16:45.761534,A,117
192,276,2026-03-19T07:59:01.848849,C,34
193,278,2026-06-04T10:01:42.529588,A,84
194,282,2025-06-12T23:21:48.503243,A,74
195,283,2025-07-13T09:32:09.870447,A,20
196,284,2025-01-10T05:04:10.825001,A,23
197,286,2024-05-31T01:50:58.145807,A,109
198,287,2026-03-20T17:23:58.027431,A,34
199,288,2025-12-30T07:49:17.440879,A,63
200,291,2024-09-04T16:29:22.991508,A,61
201,292,2025-02-14T20:49:38.084812,A,67
202,294,2025-07-29T01:52:29.024539,A,110
203,295,2025-08-19T14:46:58.937559,A,12
204,297,2024-05-06T17:54:38.679946,C,117
205,298,2025-11-23T06:14:25.456218,A,103
206,299,2025-06-23T14:14:42.759434,A,105
207,300,2025-06-28T19:39:00.439012,C,52
208,303,2024-09-11T13:30:11.620009,B,74
209,304,2025-01-02T15:34:33.715982,C,44
210,305,2026-05-03T16:16:25.351429,A,21
211,306,2026-07-15T11:30:08.690186,A,73
212,307,2025-08-15T16:37:07.308401,A,9
213,308,2025-03-26T20:57:18.755258,A,75
214,309,2025-09-20T04:16:59.174725,A,33
215,310,2025-11-14T20:18:39.856704,A,108
216,312,2025-05-11T20:04:23.054839,B,35
217,314,2025-11-08T07:31:57.289415,A,33
218,315,2025-02-14T09:55:28.816310,C,37
219,319,2026-02-18T15:35:37.384251,A,23
220,320,2026-02-18T04:13:45.765614,A,19
221,321,2025-03-15T10:46:37.564919,A,5
222,322,2026-06-22T23:29:20.345656,A,19
223,323,2026-01-24T18:24:31.759681,A,107
224,325,2026-07-23T23:13:40.141492,A,22
225,326,2024-04-09T23:21:50.274967,A,18
226,327,2025-10-20T01:54:36.400492,C,94
227,328,2024-03-30T14:25:16.773070,A,31
228,329,2025-06-25T06:00:08.238378,A,34
229,330,2025-01-03T17:33:05.379211,B,40
230,332,2024-04-09T18:27:30.452981,C,71
231,333,2025-12-23T10:13:57.212853,A,79
232,334,2025-07-20T03:33:36.111779,A,64
233,336,2024-05-04T05:06:48.487008,A,86
234,337,2025-04-16T19:14:27.945330,B,72
235,338,2024-04-19T12:24:48.754845,B,92
236,339,2024-08-28T14:00:38.736632,A,55
237,341,2026-03-18T17:06:38.972255,A,23
238,343,2026-02-21T18:01:01.386085,B,69
239,344,2024-10-30T00:11:36.770007,A,60
240,345,2025-07-05T18:19:02.632430,A,26
241,346,2025-07-05T04:42:59.132183,A,81
242,350,2025-10-29T14:17:15.568338,A,94
243,351,2024-06-24T04:44:54.218312,A,9
244,352,2024-10-03T23:20:08.436237,B,112
245,353,2025-12-22T14:08:51.836683,A,81
246,354,2024-04-15T10:46:57.734156,B,3
247,355,2024-05-23T15:10:42.184400,A,8
248,356,2025-10-04T23:41:38.117785,A,37
249,357,2024-12-29T15:45:57.588169,A,92
250,358,2024-04-24T15:48:02.437068,A,29
251,359,2024-08-08T14:59:18.943300,B,78
252,363,2025-09-28T13:09:48.325216,A,43
253,365,2025-09-01T09:40:41.544292,A,39
254,367,2025-02-20T11:51:13.302577,A,88
255,368,2025-01-29T20:47:00.817269,A,34
256,369,2024-09-20T16:05:32.346951,C,104
257,370,2025-12-20T15:12:46.022188,A,97
258,371,2025-10-24T03:12:11.327430,C,118
259,372,2024-11-01T18:09:25.453649,C,55
260,374,2024-07-24T03:59:38.477787,B,88
261,377,2026-07-28T10:27:31.915497,A,118
262,378,2024-06-22T03:41:49.369833,A,13
263,381,2026-09-14T09:42:52.494554,B,112
264,382,2025-09-12T14:11:08.598281,A,94
265,383,2025-07-08T03:02:21.434865,C,109
266,384,2025-05-24T15:52:59.972183,A,62
267,385,2025-12-23T10:58:07.456639,B,95
268,386,2025-08-26T00:09:16.836067,A,79
269,390,2026-03-13T06:23:30.537497,A,6
270,392,2026-07-05T21:35:31.706760,A,107
271,393,2025-08-05T23:47:50.275181,B,62
272,394,2025-11-26T14:04:30.181022,B,18
273,395,2026-05-12T09:03:49.785587,A,13
274,397,2026-03-27T12:18:53.147074,A,89
275,399,2026-02-25T06:37:57.222351,C,62
276,400,2024-07-19T07:18:44.853024,A,25
277,401,2025-07-23T00:47:44.005344,C,71
278,402,2025-08-13T12:03:47.628875,A,74
279,408,2024-06-21T08:24:03.125814,C,73
280,409,2025-10-15T15:43:35.242271,A,68
281,410,2024-07-31T17:48:49.899573,A,17
282,411,2024-03-21T06:23:20.231536,A,23
283,413,2026-05-13T17:21:20.543859,A,18
284,415,2025-12-21T21:39:27.292392,C,33
285,416,2025-01-04T05:59:32.952951,B,7
286,419,2024-07-07T05:06:32.093663,A,53
287,421,2026-07-31T21:15:57.286830,C,83
288,423,2024-03-06T09:53:22.065509,A,45
289,424,2026-07-30T00:37:58.048405,A,10
290,426,2025-04-09T10:15:04.564980,A,67
291,427,2025-02-28T03:30:44.295804,A,59
292,428,2026-04-18T18:34:22.884237,A,64
293,429,2024-03-25T08:00:18.374159,C,51
294,430,2025-02-11T18:12:53.213080,C,109
295,431,2024-12-12T20:40:36.258313,C,12
296,433,2024-05-21T06:47:12.424255,A,55
297,434,2024-04-02T21:06:32.060102,C,1
298,436,2026-03-03T16:58:12.507755,A,105
299,438,2024-10-17T00:16:33.593686,B,74
300,441,2025-08-28T13:39:37.571389,A,57
301,442,2024-09-13T16:16:22.585622,A,17
302,443,2025-12-11T21:59:16.621591,C,56
303,444,2024-08-22T00:04:05.593247,C,87
304,445,2024-07-11T08:09:26.755758,A,30
305,446,2024-09-24T03:12:39.680270,B,118
306,447,2026-01-12T06:06:32.393714,C,91
307,448,2026-06-02T22:02:57.722820,A,42
308,449,2026-04-03T16:21:56.150629,A,75
309,450,2026-05-02T20:00:54.105705,A,108
