CSID,CaseMasterID,csdate,cstype,PolicePersonID
1,1,2025-12-15 22:48:22,A,110
2,3,2024-06-26 19:35:12,A,89
3,5,2024-11-01 07:06:48,C,34
4,6,2026-03-26 22:03:57,A,70
5,8,2024-09-08 21:51:04,B,117
6,9,2024-12-15 22:00:29,C,46
7,10,2024-03-31 14:14:30,A,45
8,11,2024-12-07 01:43:09,A,99
9,12,2025-09-01 15:47:41,A,109
10,13,2025-08-24 13:46:45,C,58
11,14,2025-11-12 20:09:37,A,57
12,15,2026-05-11 01:40:44,A,99
13,16,2025-02-09 09:20:11,A,57
14,17,2026-01-06 20:03:25,A,31
15,18,2025-01-15 20:25:43,B,9
16,20,2024-09-05 15:36:59,A,67
17,21,2026-09-05 06:00:00,A,101
18,22,2024-07-07 00:40:04,C,12
19,23,2024-09-12 05:39:56,A,67
20,24,2025-11-19 16:57:19,A,74
21,25,2024-05-15 09:21:26,A,116
22,26,2025-08-17 12:53:38,B,36
23,27,2026-09-27 05:08:33,A,68
24,28,2026-02-28 23:20:00,A,36
25,29,2024-03-24 10:25:08,C,69
26,30,2025-09-05 08:45:51,C,112
27,33,2026-06-11 01:50:29,A,55
28,37,2025-04-26 15:13:20,A,22
29,41,2025-11-01 15:48:55,A,50
30,44,2026-02-09 05:50:04,C,72
31,45,2024-03-17 13:15:46,A,24
32,46,2024-07-09 15:33:21,A,23
33,47,2025-11-01 17:26:27,A,88
34,48,2025-09-07 09:03:40,A,100
35,49,2025-01-04 00:30:57,A,82
36,50,2024-09-10 00:25:37,A,48
37,52,2025-06-06 22:09:48,A,64
38,53,2025-11-13 10:11:50,A,36
39,54,2024-05-20 10:13:02,A,68
40,55,2025-04-19 19:58:28,A,84
41,56,2025-03-15 08:05:16,A,102
42,57,2026-06-14 04:50:12,A,34
43,58,2024-12-09 10:37:56,C,46
44,59,2025-05-21 15:44:40,A,17
45,60,2025-08-26 18:22:03,A,46
46,64,2025-08-27 16:31:48,A,21
47,65,2025-05-08 16:52:23,A,81
48,67,2025-12-30 23:06:04,A,59
49,68,2024-12-01 00:42:37,A,40
50,69,2024-11-24 17:28:09,A,23
51,70,2026-01-06 07:29:53,A,39
52,71,2024-10-30 07:53:48,A,91
53,72,2024-05-11 17:30:04,A,112
54,74,2024-07-13 23:31:14,A,69
55,75,2024-04-13 07:36:13,C,46
56,76,2026-02-13 22:23:34,A,47
57,78,2024-08-04 18:49:24,A,56
58,79,2024-06-06 16:22:53,B,102
59,81,2026-08-18 02:30:39,A,96
60,83,2025-02-17 06:08:05,A,10
61,84,2026-03-12 17:26:07,C,70
62,85,2024-06-21 07:00:48,B,4
63,86,2025-06-18 10:02:10,B,92
64,88,2025-04-24 17:21:24,A,25
65,89,2024-06-24 23:27:07,B,81
66,90,2025-09-07 11:26:42,A,30
67,91,2026-02-18 15:22:09,A,20
68,92,2025-03-01 14:52:15,A,62
69,94,2024-06-01 03:34:49,A,47
70,95,2024-06-10 07:09:13,A,77
71,96,2025-11-24 10:31:03,B,75
72,97,2026-06-23 14:34:40,C,59
73,99,2024-07-15 02:30:58,A,59
74,100,2024-05-12 15:46:38,A,20
75,104,2024-12-18 05:02:52,A,72
76,105,2025-03-19 01:34:50,A,69
77,106,2024-06-26 03:22:22,A,49
78,107,2024-07-30 00:25:38,A,80
79,109,2025-01-29 01:21:53,A,67
80,110,2025-01-20 06:31:07,A,93
81,111,2025-05-20 04:58:49,A,51
82,114,2025-01-22 20:05:28,A,99
83,115,2026-07-31 10:55:58,C,19
84,117,2024-04-07 06:06:06,A,40
85,119,2025-02-15 21:19:51,A,41
86,120,2026-07-05 23:03:45,A,100
87,121,2025-02-16 12:54:09,A,21
88,125,2024-06-16 14:55:52,A,72
89,126,2026-02-10 11:02:49,B,26
90,128,2025-12-04 04:55:48,A,26
91,130,2024-12-16 10:41:48,A,75
92,132,2024-11-21 23:15:55,A,71
93,133,2026-03-15 03:52:58,A,61
94,137,2025-04-10 19:28:22,A,28
95,138,2024-10-02 15:12:49,A,89
96,139,2026-02-06 20:14:27,A,101
97,143,2025-09-22 21:47:14,C,115
98,144,2025-07-19 09:16:21,B,61
99,146,2026-07-24 11:15:25,A,47
100,148,2025-06-13 17:35:45,A,84
101,149,2025-11-04 22:57:01,C,4
102,150,2026-01-27 09:30:11,A,48
103,152,2025-10-21 07:21:50,B,41
104,153,2026-02-25 14:32:43,A,48
105,155,2025-02-17 23:54:37,C,65
106,156,2025-12-08 11:08:59,A,16
107,157,2025-06-02 16:58:24,A,87
108,158,2025-07-07 19:59:37,A,80
109,159,2024-10-25 00:44:31,A,15
110,161,2024-11-29 22:26:00,A,101
111,162,2026-07-03 08:19:01,B,71
112,164,2025-08-10 19:24:52,A,100
113,165,2024-05-16 08:38:12,B,33
114,166,2024-12-25 04:14:21,C,46
115,167,2024-09-20 02:22:30,C,7
116,168,2024-06-05 18:22:07,C,42
117,170,2025-04-12 18:17:53,B,72
118,171,2025-04-08 08:12:42,A,14
119,172,2024-03-10 18:27:58,A,95
120,173,2024-12-24 01:44:34,A,66
121,175,2025-09-12 17:11:42,A,69
122,176,2025-10-10 23:42:05,A,66
123,177,2024-11-19 19:44:48,A,80
124,178,2025-02-10 06:58:48,A,115
125,180,2026-04-01 20:55:37,A,45
126,182,2025-08-21 20:58:05,A,55
127,183,2025-04-21 23:26:21,A,39
128,185,2024-11-07 05:19:00,A,111
129,186,2025-01-18 13:16:29,A,15
130,187,2025-05-02 02:49:47,C,60
131,188,2025-03-26 20:08:39,C,44
132,189,2024-12-08 21:25:21,A,90
133,190,2026-03-12 16:13:32,C,30
134,191,2024-08-01 09:32:11,A,81
135,192,2026-05-24 22:49:54,A,8
136,198,2024-07-10 17:39:08,A,35
137,200,2024-06-03 16:26:28,A,104
138,201,2025-04-18 03:06:15,A,23
139,202,2026-06-21 05:08:46,B,105
140,203,2026-01-13 09:27:52,A,6
141,204,2026-02-19 02:41:46,A,42
142,205,2024-05-29 09:43:54,A,92
143,208,2025-10-13 01:17:16,A,102
144,209,2025-06-14 22:30:45,A,47
145,210,2024-11-13 08:38:49,A,16
146,212,2025-09-26 23:30:53,A,65
147,213,2024-06-28 19:33:17,C,55
148,214,2026-06-29 09:40:15,C,120
149,215,2025-04-28 12:28:36,A,93
150,216,2024-10-24 16:38:24,A,50
151,217,2026-04-09 05:01:29,A,100
152,220,2026-04-01 23:50:27,A,16
153,222,2024-07-09 00:29:02,A,32
154,223,2025-05-14 13:13:10,A,62
155,225,2026-02-19 15:47:50,A,15
156,227,2024-07-05 11:12:53,B,3
157,228,2025-05-01 01:40:26,A,36
158,230,2026-04-22 18:19:23,A,25
159,232,2025-05-11 10:14:18,A,71
160,233,2025-04-02 20:22:49,A,24
161,234,2024-10-02 13:38:15,A,98
162,235,2026-03-17 11:10:28,C,14
163,237,2024-12-02 07:58:05,A,27
164,238,2024-08-19 03:30:07,A,32
165,239,2025-04-20 23:00:13,A,74
166,240,2026-01-24 13:43:35,A,14
167,241,2026-01-23 11:06:26,C,37
168,242,2025-03-19 22:34:55,C,56
169,243,2025-03-08 05:05:03,A,53
170,244,2024-08-23 10:59:29,A,43
171,245,2024-08-24 03:53:17,B,116
172,246,2025-09-29 03:38:19,A,13
173,248,2026-02-28 18:44:32,B,101
174,249,2026-02-05 01:47:33,C,91
175,251,2024-06-11 11:01:56,C,41
176,253,2024-09-15 14:14:00,A,32
177,254,2024-09-14 22:58:05,A,16
178,255,2026-08-10 18:56:14,A,16
179,257,2025-02-02 01:10:24,A,25
180,260,2025-05-11 02:05:51,A,63
181,261,2025-10-24 01:10:10,C,114
182,262,2025-04-20 01:40:33,A,37
183,263,2026-08-21 04:14:05,A,42
184,264,2024-06-30 00:13:39,A,80
185,266,2025-02-21 20:32:32,A,31
186,267,2025-03-17 12:52:55,B,36
187,268,2026-05-30 13:47:53,A,21
188,270,2025-10-04 03:45:48,A,119
