CourtID,CourtName,DistrictID,StateID,Active
1,"District & Sessions Court, Bengaluru Urban",1,1,true
2,"District & Sessions Court, Bengaluru Rural",2,1,true
3,"District & Sessions Court, Mysuru",3,1,true
4,"District & Sessions Court, Belagavi",4,1,true
5,"District & Sessions Court, Ballari",5,1,true
6,"District & Sessions Court, Dakshina Kannada",6,1,true
7,"District & Sessions Court, Kalaburagi",7,1,true
8,"District & Sessions Court, Tumakuru",8,1,true
9,"District & Sessions Court, Shivamogga",9,1,true
10,"District & Sessions Court, Hubballi-Dharwad",10,1,true
